,Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w
0,2,1,0.679005,0.701318,0.017033
1,2,1,0.717298,0.642129,0.231319
2,2,1,0.489336,0.303751,0.088462
3,2,1,0.413957,0.632996,0.040843
4,2,1,0.334292,0.543401,0.15989
5,2,1,0.510664,0.696249,0.255128
6,2,1,0.413957,0.632996,0.374176
7,2,1,0.712552,0.55479,0.112271
8,2,1,0.320995,0.298682,0.1837
9,2,1,0.394742,0.279367,0.302747
10,2,1,0.282702,0.357871,0.397985
11,2,1,0.320995,0.298682,0.517033
12,2,1,0.605258,0.720633,0.469414
13,2,1,0.510664,0.696249,0.588462
14,2,1,0.679005,0.701318,0.6837
15,2,1,0.605258,0.720633,0.802747
16,2,1,0.665708,0.456599,0.326557
17,2,1,0.712552,0.55479,0.445605
18,2,1,0.586043,0.367004,0.540843
19,2,1,0.665708,0.456599,0.65989
20,2,1,0.287448,0.44521,0.612271
21,2,1,0.282702,0.357871,0.731319
22,2,1,0.334292,0.543401,0.826557
23,2,1,0.287448,0.44521,0.945605
24,2,1,0.717298,0.642129,0.897985
25,2,1,0.489336,0.303751,0.755128
26,2,1,0.586043,0.367004,0.874176
27,2,1,0.394742,0.279367,0.969414
28,3,1,0.591598,0.760361,0.05909
29,3,1,0.24301,0.424391,0.020628
30,3,1,0.348135,0.611237,0.084731
31,3,1,0.300826,0.550669,0.174474
32,3,1,0.732854,0.724426,0.123192
33,3,1,0.696244,0.751243,0.212936
34,3,1,0.764136,0.633981,0.277038
35,3,1,0.755932,0.684567,0.366782
36,3,1,0.699174,0.449331,0.007807
37,3,1,0.734908,0.512843,0.097551
38,3,1,0.303756,0.248757,0.046269
39,3,1,0.351772,0.236542,0.136013
40,3,1,0.244068,0.315433,0.200115
41,3,1,0.267146,0.275574,0.289859
42,3,1,0.465969,0.709835,0.238577
43,3,1,0.40427,0.665341,0.32832
44,3,1,0.591598,0.760361,0.392423
45,3,1,0.529645,0.742134,0.482166
46,3,1,0.59573,0.334659,0.161654
47,3,1,0.651865,0.388763,0.251397
48,3,1,0.470355,0.257866,0.3155
49,3,1,0.534031,0.290165,0.405243
50,3,1,0.24301,0.424391,0.353961
51,3,1,0.235864,0.366019,0.443705
52,3,1,0.300826,0.550669,0.507807
53,3,1,0.265092,0.487157,0.597551
54,3,1,0.696244,0.751243,0.546269
55,3,1,0.648228,0.763458,0.636013
56,3,1,0.755932,0.684567,0.700115
