,0,1,2,3,4
0,800,0.0,0.3048,71.3,0.00266337
1,1000,0.0,0.3048,71.3,0.00266337
2,1250,0.0,0.3048,71.3,0.00266337
3,1600,0.0,0.3048,71.3,0.00266337
4,2000,0.0,0.3048,71.3,0.00266337
5,2500,0.0,0.3048,71.3,0.00266337
6,3150,0.0,0.3048,71.3,0.00266337
7,4000,0.0,0.3048,71.3,0.00266337
8,5000,0.0,0.3048,71.3,0.00266337
9,6300,0.0,0.3048,71.3,0.00266337
10,8000,0.0,0.3048,71.3,0.00266337
11,10000,0.0,0.3048,71.3,0.00266337
12,12500,0.0,0.3048,71.3,0.00266337
13,16000,0.0,0.3048,71.3,0.00266337
14,500,0.0,0.3048,55.5,0.00283081
15,630,0.0,0.3048,55.5,0.00283081
16,800,0.0,0.3048,55.5,0.00283081
17,1000,0.0,0.3048,55.5,0.00283081
18,1250,0.0,0.3048,55.5,0.00283081
19,1600,0.0,0.3048,55.5,0.00283081
20,2000,0.0,0.3048,55.5,0.00283081
21,2500,0.0,0.3048,55.5,0.00283081
22,3150,0.0,0.3048,55.5,0.00283081
23,4000,0.0,0.3048,55.5,0.00283081
24,5000,0.0,0.3048,55.5,0.00283081
25,6300,0.0,0.3048,55.5,0.00283081
26,8000,0.0,0.3048,55.5,0.00283081
27,10000,0.0,0.3048,55.5,0.00283081
28,12500,0.0,0.3048,55.5,0.00283081
29,200,0.0,0.3048,39.6,0.00310138
30,250,0.0,0.3048,39.6,0.00310138
31,315,0.0,0.3048,39.6,0.00310138
32,400,0.0,0.3048,39.6,0.00310138
33,500,0.0,0.3048,39.6,0.00310138
34,630,0.0,0.3048,39.6,0.00310138
35,800,0.0,0.3048,39.6,0.00310138
36,1000,0.0,0.3048,39.6,0.00310138
37,1250,0.0,0.3048,39.6,0.00310138
38,1600,0.0,0.3048,39.6,0.00310138
39,2000,0.0,0.3048,39.6,0.00310138
40,2500,0.0,0.3048,39.6,0.00310138
41,3150,0.0,0.3048,39.6,0.00310138
42,4000,0.0,0.3048,39.6,0.00310138
43,5000,0.0,0.3048,39.6,0.00310138
44,6300,0.0,0.3048,39.6,0.00310138
45,8000,0.0,0.3048,39.6,0.00310138
46,10000,0.0,0.3048,39.6,0.00310138
47,12500,0.0,0.3048,39.6,0.00310138
48,200,0.0,0.3048,31.7,0.00331266
49,250,0.0,0.3048,31.7,0.00331266
50,315,0.0,0.3048,31.7,0.00331266
51,400,0.0,0.3048,31.7,0.00331266
52,500,0.0,0.3048,31.7,0.00331266
53,630,0.0,0.3048,31.7,0.00331266
54,800,0.0,0.3048,31.7,0.00331266
55,1000,0.0,0.3048,31.7,0.00331266
56,1250,0.0,0.3048,31.7,0.00331266
57,1600,0.0,0.3048,31.7,0.00331266
58,2000,0.0,0.3048,31.7,0.00331266
59,2500,0.0,0.3048,31.7,0.00331266
60,3150,0.0,0.3048,31.7,0.00331266
61,4000,0.0,0.3048,31.7,0.00331266
62,5000,0.0,0.3048,31.7,0.00331266
63,6300,0.0,0.3048,31.7,0.00331266
64,8000,0.0,0.3048,31.7,0.00331266
65,10000,0.0,0.3048,31.7,0.00331266
66,800,1.5,0.3048,71.3,0.00336729
