,LC,PC,L/D,B/Dr,L/B,Fr
0,-2.3,0.568,4.78,3.99,3.17,0.125
1,-2.3,0.568,4.78,3.99,3.17,0.15
2,-2.3,0.568,4.78,3.99,3.17,0.175
3,-2.3,0.568,4.78,3.99,3.17,0.2
4,-2.3,0.568,4.78,3.99,3.17,0.225
5,-2.3,0.568,4.78,3.99,3.17,0.25
6,-2.3,0.568,4.78,3.99,3.17,0.275
7,-2.3,0.568,4.78,3.99,3.17,0.3
8,-2.3,0.568,4.78,3.99,3.17,0.325
9,-2.3,0.568,4.78,3.99,3.17,0.35
10,-2.3,0.568,4.78,3.99,3.17,0.375
11,-2.3,0.568,4.78,3.99,3.17,0.4
12,-2.3,0.568,4.78,3.99,3.17,0.425
13,-2.3,0.568,4.78,3.99,3.17,0.45
14,-2.3,0.569,4.78,3.04,3.64,0.125
15,-2.3,0.569,4.78,3.04,3.64,0.15
16,-2.3,0.569,4.78,3.04,3.64,0.175
17,-2.3,0.569,4.78,3.04,3.64,0.2
18,-2.3,0.569,4.78,3.04,3.64,0.225
19,-2.3,0.569,4.78,3.04,3.64,0.25
20,-2.3,0.569,4.78,3.04,3.64,0.275
21,-2.3,0.569,4.78,3.04,3.64,0.3
22,-2.3,0.569,4.78,3.04,3.64,0.325
23,-2.3,0.569,4.78,3.04,3.64,0.35
24,-2.3,0.569,4.78,3.04,3.64,0.375
25,-2.3,0.569,4.78,3.04,3.64,0.4
26,-2.3,0.569,4.78,3.04,3.64,0.425
27,-2.3,0.569,4.78,3.04,3.64,0.45
28,-2.3,0.565,4.78,5.35,2.76,0.125
29,-2.3,0.565,4.78,5.35,2.76,0.15
30,-2.3,0.565,4.78,5.35,2.76,0.175
31,-2.3,0.565,4.78,5.35,2.76,0.2
32,-2.3,0.565,4.78,5.35,2.76,0.225
33,-2.3,0.565,4.78,5.35,2.76,0.25
34,-2.3,0.565,4.78,5.35,2.76,0.275
35,-2.3,0.565,4.78,5.35,2.76,0.3
36,-2.3,0.565,4.78,5.35,2.76,0.325
37,-2.3,0.565,4.78,5.35,2.76,0.35
38,-2.3,0.565,4.78,5.35,2.76,0.375
39,-2.3,0.565,4.78,5.35,2.76,0.4
40,-2.3,0.565,4.78,5.35,2.76,0.425
41,-2.3,0.565,4.78,5.35,2.76,0.45
42,-2.3,0.564,5.1,3.95,3.53,0.125
43,-2.3,0.564,5.1,3.95,3.53,0.15
44,-2.3,0.564,5.1,3.95,3.53,0.175
45,-2.3,0.564,5.1,3.95,3.53,0.2
46,-2.3,0.564,5.1,3.95,3.53,0.225
47,-2.3,0.564,5.1,3.95,3.53,0.25
48,-2.3,0.564,5.1,3.95,3.53,0.275
49,-2.3,0.564,5.1,3.95,3.53,0.3
50,-2.3,0.564,5.1,3.95,3.53,0.325
51,-2.3,0.564,5.1,3.95,3.53,0.35
52,-2.3,0.564,5.1,3.95,3.53,0.375
53,-2.3,0.564,5.1,3.95,3.53,0.4
54,-2.3,0.564,5.1,3.95,3.53,0.425
55,-2.3,0.564,5.1,3.95,3.53,0.45
56,-2.4,0.574,4.36,3.96,2.76,0.125
57,-2.4,0.574,4.36,3.96,2.76,0.15
58,-2.4,0.574,4.36,3.96,2.76,0.175
59,-2.4,0.574,4.36,3.96,2.76,0.2
60,-2.4,0.574,4.36,3.96,2.76,0.225
61,-2.4,0.574,4.36,3.96,2.76,0.25
62,-2.4,0.574,4.36,3.96,2.76,0.275
63,-2.4,0.574,4.36,3.96,2.76,0.3
64,-2.4,0.574,4.36,3.96,2.76,0.325
65,-2.4,0.574,4.36,3.96,2.76,0.35
66,-2.4,0.574,4.36,3.96,2.76,0.375
67,-2.4,0.574,4.36,3.96,2.76,0.4
68,-2.4,0.574,4.36,3.96,2.76,0.425
69,-2.4,0.574,4.36,3.96,2.76,0.45
70,-2.4,0.568,4.34,2.98,3.15,0.125
71,-2.4,0.568,4.34,2.98,3.15,0.15
72,-2.4,0.568,4.34,2.98,3.15,0.175
73,-2.4,0.568,4.34,2.98,3.15,0.2
74,-2.4,0.568,4.34,2.98,3.15,0.225
75,-2.4,0.568,4.34,2.98,3.15,0.25
76,-2.4,0.568,4.34,2.98,3.15,0.275
77,-2.4,0.568,4.34,2.98,3.15,0.3
78,-2.4,0.568,4.34,2.98,3.15,0.325
79,-2.4,0.568,4.34,2.98,3.15,0.35
80,-2.4,0.568,4.34,2.98,3.15,0.375
81,-2.4,0.568,4.34,2.98,3.15,0.4
82,-2.4,0.568,4.34,2.98,3.15,0.425
83,-2.4,0.568,4.34,2.98,3.15,0.45
84,-2.3,0.562,5.14,4.95,3.17,0.125
85,-2.3,0.562,5.14,4.95,3.17,0.15
86,-2.3,0.562,5.14,4.95,3.17,0.175
87,-2.3,0.562,5.14,4.95,3.17,0.2
88,-2.3,0.562,5.14,4.95,3.17,0.225
89,-2.3,0.562,5.14,4.95,3.17,0.25
90,-2.3,0.562,5.14,4.95,3.17,0.275
91,-2.3,0.562,5.14,4.95,3.17,0.3
92,-2.3,0.562,5.14,4.95,3.17,0.325
93,-2.3,0.562,5.14,4.95,3.17,0.35
94,-2.3,0.562,5.14,4.95,3.17,0.375
95,-2.3,0.562,5.14,4.95,3.17,0.4
96,-2.3,0.562,5.14,4.95,3.17,0.425
97,-2.3,0.562,5.14,4.95,3.17,0.45
98,-2.4,0.585,4.78,3.84,3.32,0.125
99,-2.4,0.585,4.78,3.84,3.32,0.15
100,-2.4,0.585,4.78,3.84,3.32,0.175
101,-2.4,0.585,4.78,3.84,3.32,0.2
102,-2.4,0.585,4.78,3.84,3.32,0.225
103,-2.4,0.585,4.78,3.84,3.32,0.25
104,-2.4,0.585,4.78,3.84,3.32,0.275
105,-2.4,0.585,4.78,3.84,3.32,0.3
106,-2.4,0.585,4.78,3.84,3.32,0.325
107,-2.4,0.585,4.78,3.84,3.32,0.35
108,-2.4,0.585,4.78,3.84,3.32,0.375
109,-2.4,0.585,4.78,3.84,3.32,0.4
110,-2.4,0.585,4.78,3.84,3.32,0.425
111,-2.4,0.585,4.78,3.84,3.32,0.45
112,-2.2,0.546,4.78,4.13,3.07,0.125
113,-2.2,0.546,4.78,4.13,3.07,0.15
114,-2.2,0.546,4.78,4.13,3.07,0.175
115,-2.2,0.546,4.78,4.13,3.07,0.2
116,-2.2,0.546,4.78,4.13,3.07,0.225
117,-2.2,0.546,4.78,4.13,3.07,0.25
118,-2.2,0.546,4.78,4.13,3.07,0.275
119,-2.2,0.546,4.78,4.13,3.07,0.3
120,-2.2,0.546,4.78,4.13,3.07,0.325
121,-2.2,0.546,4.78,4.13,3.07,0.35
122,-2.2,0.546,4.78,4.13,3.07,0.375
123,-2.2,0.546,4.78,4.13,3.07,0.4
124,-2.2,0.546,4.78,4.13,3.07,0.425
125,-2.2,0.546,4.78,4.13,3.07,0.45
126,0.0,0.565,4.77,3.99,3.15,0.125
127,0.0,0.565,4.77,3.99,3.15,0.15
128,0.0,0.565,4.77,3.99,3.15,0.175
129,0.0,0.565,4.77,3.99,3.15,0.2
130,0.0,0.565,4.77,3.99,3.15,0.225
131,0.0,0.565,4.77,3.99,3.15,0.25
132,0.0,0.565,4.77,3.99,3.15,0.275
133,0.0,0.565,4.77,3.99,3.15,0.3
134,0.0,0.565,4.77,3.99,3.15,0.325
135,0.0,0.565,4.77,3.99,3.15,0.35
136,0.0,0.565,4.77,3.99,3.15,0.375
137,0.0,0.565,4.77,3.99,3.15,0.4
138,0.0,0.565,4.77,3.99,3.15,0.425
139,0.0,0.565,4.77,3.99,3.15,0.45
140,-5.0,0.565,4.77,3.99,3.15,0.125
141,-5.0,0.565,4.77,3.99,3.15,0.15
142,-5.0,0.565,4.77,3.99,3.15,0.175
143,-5.0,0.565,4.77,3.99,3.15,0.2
144,-5.0,0.565,4.77,3.99,3.15,0.225
145,-5.0,0.565,4.77,3.99,3.15,0.25
146,-5.0,0.565,4.77,3.99,3.15,0.275
147,-5.0,0.565,4.77,3.99,3.15,0.3
148,-5.0,0.565,4.77,3.99,3.15,0.325
149,-5.0,0.565,4.77,3.99,3.15,0.35
150,-5.0,0.565,4.77,3.99,3.15,0.375
151,-5.0,0.565,4.77,3.99,3.15,0.4
