,Calculated atomic coordinates u'
0,0.721039
1,0.738414
2,0.477676
3,0.408823
4,0.303349
5,0.496977
6,0.390878
7,0.750056
8,0.281301
9,0.35086
10,0.229138
11,0.278752
12,0.613415
13,0.521991
14,0.718811
15,0.649178
16,0.680389
17,0.737216
18,0.591153
19,0.697242
20,0.249571
21,0.262916
22,0.320053
23,0.262054
24,0.770521
25,0.50356
26,0.609
27,0.385666
28,0.59912
29,0.222068
30,0.337437
31,0.287789
32,0.754953
33,0.716721
34,0.787393
35,0.775712
36,0.72086
37,0.762097
38,0.293584
39,0.349972
40,0.232016
41,0.259193
42,0.467543
43,0.398427
44,0.599318
45,0.529179
46,0.613188
47,0.674862
48,0.476696
49,0.543931
50,0.22811
51,0.21931
52,0.27914
53,0.237903
54,0.706416
55,0.650028
56,0.767984
57,0.740808
58,0.76046
59,0.777932
60,0.345355
61,0.40088
62,0.245047
63,0.283279
64,0.386812
65,0.325138
66,0.523304
67,0.456069
68,0.78069
69,0.662563
70,0.712211
71,0.532457
72,0.601573
73,0.212606
74,0.224287
75,0.23954
76,0.654645
77,0.77189
78,0.400682
79,0.470821
80,0.636717
81,0.393472
82,0.30593
83,0.753137
84,0.682379
85,0.777945
86,0.720745
87,0.555071
88,0.219019
89,0.19467
90,0.205895
91,0.445071
92,0.348764
93,0.495486
94,0.39409
95,0.797217
96,0.754694
97,0.807952
98,0.780981
99,0.75736
100,0.795642
101,0.402862
102,0.505401
103,0.358686
104,0.458173
105,0.204773
106,0.198094
107,0.219043
108,0.196708
109,0.546758
110,0.444929
111,0.597138
112,0.494599
113,0.794105
114,0.801906
115,0.72519
116,0.781561
117,0.693294
118,0.763292
119,0.318833
120,0.411354
121,0.280845
122,0.363282
123,0.242639
124,0.204358
125,0.27481
126,0.218439
127,0.641314
128,0.541827
129,0.681167
130,0.588646
131,0.653342
132,0.732212
133,0.606528
134,0.69407
135,0.246863
136,0.317621
137,0.222055
138,0.279255
139,0.306706
140,0.236708
141,0.346659
142,0.267788
143,0.719155
144,0.805331
145,0.554928
146,0.651236
147,0.504514
148,0.60591
149,0.202783
150,0.245306
151,0.192048
152,0.795227
153,0.780957
154,0.803292
155,0.453242
156,0.812277
157,0.807185
158,0.198483
159,0.565293
160,0.518262
161,0.690505
162,0.653283
163,0.733703
164,0.347059
165,0.220388
166,0.243065
167,0.298531
168,0.265631
169,0.424498
170,0.38078
171,0.779609
172,0.756305
173,0.812277
174,0.807184
175,0.575221
176,0.619361
