,Calculated atomic coordinates v'
0,0.730232
1,0.65675
2,0.263221
3,0.657897
4,0.558807
5,0.725608
6,0.657645
7,0.561494
8,0.261433
9,0.2335
10,0.328729
11,0.269615
12,0.760009
13,0.736991
14,0.738577
15,0.766301
16,0.444562
17,0.552056
18,0.342069
19,0.441516
20,0.438057
21,0.343512
22,0.555754
23,0.44817
24,0.670869
25,0.27443
26,0.342123
27,0.240071
28,0.779052
29,0.414703
30,0.618899
31,0.556575
32,0.742501
33,0.774579
34,0.647285
35,0.700545
36,0.444281
37,0.516121
38,0.229065
39,0.22059
40,0.304156
41,0.263096
42,0.732466
43,0.685067
44,0.782562
45,0.763965
46,0.322504
47,0.383646
48,0.239962
49,0.27459
50,0.42237
51,0.358527
52,0.555719
53,0.483879
54,0.770935
55,0.77941
56,0.695844
57,0.736904
58,0.51884
59,0.585297
60,0.221578
61,0.220949
62,0.257499
63,0.225421
64,0.677496
65,0.616354
66,0.760038
67,0.72541
68,0.641473
69,0.381101
70,0.443425
71,0.267534
72,0.314933
73,0.352715
74,0.299455
75,0.48116
76,0.778422
77,0.57763
78,0.217438
79,0.236035
80,0.803969
81,0.694676
82,0.607015
83,0.775437
84,0.804355
85,0.749432
86,0.794402
87,0.269279
88,0.246063
89,0.363701
90,0.280628
91,0.732091
92,0.654129
93,0.763508
94,0.694968
95,0.718068
96,0.777448
97,0.681054
98,0.753937
99,0.487774
100,0.588879
101,0.199315
102,0.236223
103,0.192911
104,0.215511
105,0.412301
106,0.319888
107,0.460817
108,0.362862
109,0.784127
110,0.730721
111,0.800685
112,0.763777
113,0.719372
114,0.680112
115,0.436767
116,0.539864
117,0.389132
118,0.491718
119,0.197217
120,0.203804
121,0.207219
122,0.196031
123,0.512226
124,0.411121
125,0.563233
126,0.460136
127,0.807089
128,0.784489
129,0.802783
130,0.796196
131,0.346247
132,0.442763
133,0.305324
134,0.392986
135,0.224563
136,0.195645
137,0.250569
138,0.205597
139,0.610868
140,0.508282
141,0.653753
142,0.557237
143,0.792781
144,0.636299
145,0.267909
146,0.345871
147,0.236492
148,0.305032
149,0.281932
150,0.222552
151,0.318946
152,0.587699
153,0.539183
154,0.637138
155,0.215873
156,0.658326
157,0.697932
158,0.426673
159,0.801366
160,0.783893
161,0.811887
162,0.815991
163,0.431654
164,0.184129
165,0.238728
166,0.215492
167,0.612095
168,0.568083
169,0.730007
170,0.69492
171,0.761253
172,0.783672
173,0.658325
174,0.697932
175,0.270349
176,0.306347
177,0.199076
178,0.214825
179,0.340879
180,0.302779
181,0.472308
182,0.426673
183,0.801366
184,0.783893
185,0.811887
186,0.815991
187,0.528527
188,0.573294
189,0.387602
190,0.431653
191,0.187916
192,0.184129
193,0.238728
194,0.215492
195,0.612095
196,0.568083
197,0.730007
198,0.69492
199,0.761253
200,0.783671
201,0.658326
202,0.697932
203,0.270348
204,0.306346
205,0.199076
206,0.214825
207,0.340879
208,0.30278
209,0.472308
210,0.426673
211,0.801366
