,Calculated atomic coordinates w'
0,0.017014
1,0.232369
2,0.088712
3,0.039796
4,0.157373
5,0.25597
6,0.374735
7,0.114944
8,0.182779
9,0.302196
10,0.398581
11,0.51733
12,0.469452
13,0.588946
14,0.68244
15,0.80193
16,0.327502
17,0.443517
18,0.540172
19,0.657521
20,0.614939
21,0.732213
22,0.827503
23,0.943402
24,0.898389
25,0.75629
26,0.875088
27,0.969157
28,0.058651
29,0.020882
30,0.085676
31,0.174486
32,0.123074
33,0.211887
34,0.277407
35,0.366505
36,0.00759
37,0.096337
38,0.047346
39,0.136027
40,0.201163
41,0.289735
42,0.238691
43,0.327159
44,0.392936
45,0.48165
46,0.16211
47,0.250882
48,0.316373
49,0.405442
50,0.353687
51,0.442351
52,0.50759
53,0.596337
54,0.547346
55,0.636027
56,0.701163
57,0.789735
58,0.432119
59,0.520882
60,0.469496
61,0.558651
62,0.623074
63,0.711887
64,0.66211
65,0.750882
66,0.816373
67,0.905442
68,0.942351
69,0.585676
70,0.674486
71,0.738691
72,0.827159
73,0.777407
74,0.866505
75,0.932119
76,0.969496
77,0.853688
78,0.892936
79,0.98165
80,0.032929
81,0.041784
82,0.112105
83,0.094168
84,0.164358
85,0.225798
86,0.296029
87,0.006501
88,0.059347
89,0.120952
90,0.191151
91,0.173231
92,0.243503
93,0.304887
94,0.375015
95,0.357196
96,0.427477
97,0.489132
98,0.559347
99,0.015348
100,0.085488
101,0.067847
102,0.137935
103,0.199771
104,0.269828
105,0.252384
106,0.322493
107,0.383849
108,0.454006
109,0.436204
110,0.506501
111,0.567847
112,0.637935
113,0.691151
114,0.822493
115,0.146746
116,0.216971
117,0.27849
118,0.348524
119,0.331324
120,0.401423
121,0.462711
122,0.532929
123,0.515348
124,0.585488
125,0.646746
126,0.716971
127,0.699771
128,0.769828
129,0.831324
130,0.901423
131,0.410181
132,0.480441
133,0.541784
134,0.612105
135,0.594168
136,0.664358
137,0.725798
138,0.796029
139,0.77849
140,0.848524
141,0.910181
142,0.980441
143,0.962711
144,0.620952
145,0.673231
146,0.743503
147,0.804887
148,0.875015
149,0.857196
150,0.927477
151,0.989132
152,0.752384
153,0.883849
154,0.954006
155,0.936204
156,0.040916
157,0.111388
158,0.063134
159,0.016747
160,0.087303
161,0.135963
162,0.206572
163,0.015953
164,0.039263
165,0.087568
166,0.158191
167,0.111617
168,0.182279
169,0.230823
170,0.301449
171,0.255146
172,0.325794
173,0.374249
174,0.444721
175,0.064318
176,0.134796
177,0.183122
178,0.253602
179,0.20662
180,0.277111
181,0.325774
182,0.396467
183,0.350081
184,0.420636
185,0.469296
186,0.539906
187,0.159828
188,0.230421
189,0.278662
190,0.349287
191,0.301969
192,0.372596
193,0.420901
194,0.491525
195,0.444951
196,0.515612
197,0.564156
198,0.634783
199,0.588479
200,0.659127
201,0.707583
202,0.778054
203,0.397652
204,0.468129
205,0.516456
206,0.586935
207,0.539953
208,0.610445
209,0.659108
210,0.7298
211,0.683414
212,0.75397
213,0.80263
214,0.873239
215,0.493161
216,0.563754
217,0.611996
218,0.68262
219,0.635302
220,0.705929
221,0.754234
222,0.824858
223,0.778284
224,0.848945
225,0.89749
226,0.968116
227,0.921812
228,0.99246
229,0.730985
230,0.801462
231,0.849789
232,0.920268
233,0.873286
234,0.943778
235,0.992441
236,0.826495
237,0.897087
238,0.945329
239,0.968636
240,0.068597
241,0.186857
242,0.043942
243,0.115307
244,0.211197
245,0.329481
246,0.401001
247,0.068597
248,0.186857
249,0.140009
250,0.258189
251,0.35428
252,0.472755
253,0.425541
254,0.543768
255,0.63977
256,0.758147
257,0.043942
258,0.115307
259,0.211197
260,0.329481
261,0.28275
262,0.401001
263,0.497083
264,0.615237
265,0.568352
266,0.686613
267,0.782525
268,0.900939
269,0.854149
270,0.972535
271,0.140009
272,0.258189
273,0.35428
274,0.472755
275,0.425541
276,0.543768
277,0.63977
278,0.758147
279,0.711321
280,0.829783
281,0.925528
282,0.996998
283,0.28275
284,0.497083
285,0.615237
286,0.568352
287,0.686613
288,0.782525
289,0.900939
290,0.854149
291,0.972535
292,0.711321
293,0.829783
294,0.925528
295,0.996999
296,0.029155
297,0.078923
298,0.038388
299,0.083443
300,0.132917
301,0.123631
302,0.173307
303,0.267408
304,0.001428
305,0.050974
306,0.042721
307,0.092203
308,0.137304
309,0.186813
310,0.177771
311,0.227115
312,0.271917
313,0.321493
314,0.361583
315,0.456126
316,0.010235
317,0.055292
318,0.104841
319,0.096454
320,0.145976
321,0.191226
322,0.240894
323,0.231697
324,0.281388
325,0.326133
326,0.375872
327,0.366168
328,0.415963
329,0.460641
330,0.510235
331,0.024482
332,0.014772
333,0.064456
334,0.109233
335,0.158876
336,0.150182
337,0.199734
338,0.245184
339,0.294794
340,0.286013
341,0.335682
342,0.380507
343,0.430106
344,0.420582
345,0.470136
346,0.514772
347,0.564456
348,0.555292
349,0.604841
350,0.650182
351,0.699734
352,0.069192
353,0.118908
354,0.163471
355,0.213336
356,0.203959
357,0.253707
358,0.299034
359,0.348663
360,0.340097
361,0.389703
362,0.434661
363,0.484359
364,0.474832
365,0.524481
366,0.569191
367,0.618908
368,0.609233
