,5
0,126.201
1,125.201
2,125.951
3,127.591
4,127.461
5,125.571
6,125.201
7,123.061
8,121.301
9,119.541
10,117.151
11,115.391
12,112.241
13,108.721
14,126.416
15,127.696
16,128.086
17,126.966
18,126.086
19,126.986
20,126.616
21,124.106
22,123.236
23,121.106
24,119.606
25,117.976
26,116.476
27,113.076
28,111.076
29,118.129
30,119.319
31,122.779
32,124.809
33,126.959
34,128.629
35,129.099
36,127.899
37,125.499
38,124.049
39,123.689
40,121.399
41,120.319
42,119.229
43,117.789
44,116.229
45,114.779
46,112.139
47,109.619
48,117.195
49,118.595
50,122.765
51,125.045
52,127.315
53,129.095
54,129.235
55,127.365
56,124.355
57,122.365
58,122.375
59,120.755
60,119.135
61,118.145
62,115.645
63,113.775
64,110.515
65,108.265
66,127.122
67,125.992
68,125.872
69,126.632
70,126.642
71,124.512
72,123.392
73,121.762
74,119.632
75,118.122
76,115.372
77,113.492
78,109.222
79,106.582
80,121.851
81,124.001
82,126.661
83,128.311
84,128.831
85,127.581
86,125.211
87,122.211
88,122.101
89,120.981
90,119.111
91,117.741
92,116.241
93,114.751
94,112.251
95,108.991
96,106.111
97,127.564
98,128.454
99,129.354
100,129.494
101,129.004
102,127.634
103,126.514
104,125.524
105,124.024
106,121.514
107,120.264
108,118.134
109,116.134
110,114.634
111,110.224
112,126.159
113,128.179
114,129.569
115,129.949
116,129.329
117,127.329
118,124.439
119,123.069
120,122.439
121,120.189
122,118.689
123,117.309
124,115.679
125,113.799
126,112.169
127,123.312
128,125.472
129,127.632
130,129.292
131,129.552
132,128.312
133,125.802
134,122.782
135,120.532
136,120.162
137,118.922
138,116.792
139,115.792
140,114.042
141,110.652
142,123.118
143,125.398
144,127.548
145,128.698
146,128.708
147,126.838
148,124.838
149,122.088
150,120.088
151,119.598
152,118.108
153,115.608
154,113.858
155,109.718
156,126.395
157,128.175
158,129.575
159,130.715
160,131.615
161,131.755
162,131.015
163,129.395
164,126.645
165,124.395
166,123.775
167,121.775
168,119.535
169,117.785
170,116.165
171,113.665
172,110.905
173,107.405
174,123.543
175,126.843
176,128.633
177,130.173
178,131.073
179,130.723
180,128.723
181,126.343
182,123.213
183,120.963
184,120.233
185,118.743
186,115.863
187,113.733
188,128.144
189,129.134
190,128.244
191,128.354
192,127.834
193,125.824
194,124.304
195,122.044
196,118.024
197,118.134
198,117.624
199,114.984
200,114.474
201,119.54
202,121.66
203,123.78
204,126.16
205,127.53
206,128.29
207,127.91
208,126.79
209,126.54
210,126.54
211,125.16
212,123.41
213,122.41
214,118.41
215,121.055
216,123.565
217,126.195
218,128.705
219,130.205
220,130.435
221,129.395
222,127.095
223,125.305
224,125.025
225,124.625
226,123.465
227,122.175
228,117.465
229,120.595
230,123.635
231,126.675
232,129.465
233,130.725
234,130.595
235,128.805
236,125.625
237,123.455
238,123.445
239,123.445
240,122.035
241,120.505
242,116.815
243,125.116
244,126.486
245,127.356
246,128.216
247,128.956
248,128.816
249,127.796
250,126.896
251,127.006
252,126.116
253,124.086
254,122.816
255,120.786
256,115.996
257,113.086
258,122.292
259,124.692
260,126.842
261,128.492
262,129.002
263,128.762
264,126.752
265,124.612
266,123.862
267,123.742
268,122.232
269,120.472
270,118.712
271,120.137
272,122.147
273,125.157
274,127.417
275,129.037
276,129.147
277,128.257
278,125.837
279,122.797
280,121.397
281,121.627
282,120.227
283,118.827
284,116.417
285,120.147
286,123.417
287,126.677
288,129.057
289,130.307
290,130.307
291,128.677
292,125.797
293,123.037
294,121.407
295,121.527
296,120.527
297,118.267
298,115.137
299,126.758
300,129.038
301,130.688
302,131.708
303,131.718
304,129.468
305,126.218
306,124.338
307,124.108
308,121.728
309,121.118
310,118.618
311,112.848
312,113.108
313,114.258
314,112.768
315,109.638
316,123.274
317,127.314
318,129.964
319,131.864
320,132.134
321,131.264
322,128.264
323,124.254
324,122.384
325,122.394
326,120.654
327,120.034
328,117.154
329,112.524
330,122.229
331,123.879
332,127.039
333,129.579
334,130.469
335,129.969
336,128.339
337,125.319
338,121.659
339,119.649
340,120.419
341,119.159
342,117.649
343,114.249
344,113.129
345,120.189
346,123.609
347,126.149
348,128.939
349,130.349
350,130.869
351,129.869
352,128.119
353,125.229
354,122.089
355,120.209
356,120.229
357,118.859
358,115.969
359,112.699
360,127.7
361,129.88
362,131.8
363,133.48
364,134.0
365,133.38
366,130.46
367,125.89
368,123.74
369,123.12
370,120.33
371,118.05
372,116.92
373,114.9
374,111.35
375,127.011
376,129.691
377,131.221
378,132.251
379,132.011
380,129.491
381,125.581
382,125.721
383,123.081
384,117.911
385,116.151
386,118.441
387,115.801
388,115.311
389,112.541
390,138.758
391,139.918
392,139.808
393,139.438
394,136.798
395,133.768
396,130.748
397,126.838
398,127.358
399,125.728
400,122.708
401,122.088
402,120.458
403,119.208
404,115.298
405,115.818
406,135.234
407,136.384
408,136.284
409,135.924
410,133.174
411,130.934
412,128.444
413,125.194
414,125.724
415,123.354
416,120.354
417,118.994
418,117.134
419,117.284
420,113.144
421,111.534
422,130.989
423,131.889
424,132.149
425,132.039
426,130.299
427,128.929
428,126.299
429,122.539
430,123.189
431,121.059
432,117.809
433,116.559
434,114.309
435,114.079
436,111.959
437,110.839
438,128.679
439,130.089
440,130.239
441,130.269
442,128.169
443,126.189
444,123.209
445,119.099
446,120.509
447,119.039
448,115.309
449,114.709
450,113.229
451,112.639
452,111.029
453,110.689
454,125.817
455,127.307
456,128.927
457,129.667
458,128.647
459,128.127
460,129.377
461,128.857
462,126.457
463,125.427
464,122.527
465,120.247
466,117.087
467,113.297
468,120.573
469,123.583
470,126.713
471,128.583
472,129.953
473,130.183
474,129.673
475,127.763
476,127.753
477,127.233
478,125.203
479,123.303
480,121.903
481,119.253
482,117.093
483,112.803
484,119.513
485,124.403
486,127.903
487,130.033
488,131.023
489,131.013
490,129.633
491,126.863
492,125.603
493,125.343
494,123.453
495,121.313
496,120.553
497,115.413
498,121.617
499,125.997
500,129.117
501,130.987
502,131.467
503,130.817
504,128.907
505,125.867
506,124.207
507,123.807
508,122.397
509,119.737
510,117.957
511,127.404
512,127.394
513,128.774
514,130.144
515,130.644
516,130.114
517,128.334
518,127.054
519,126.534
520,124.364
521,121.944
522,120.534
523,116.724
524,113.034
525,110.364
526,121.009
527,125.809
528,128.829
529,130.589
530,130.829
531,130.049
532,128.139
533,125.589
534,122.919
535,121.889
536,121.499
537,119.209
538,116.659
539,112.589
540,108.649
541,124.121
542,126.291
543,128.971
544,131.281
545,133.201
546,134.111
547,133.241
548,131.111
549,127.591
550,123.311
551,121.431
552,120.061
553,116.411
554,126.807
555,129.367
556,131.807
557,133.097
558,132.127
559,130.777
560,130.567
561,128.707
562,124.077
563,121.587
564,119.737
565,118.757
566,117.287
567,114.927
568,125.347
569,127.637
570,129.937
571,132.357
572,132.757
573,130.507
574,127.117
575,126.267
576,124.647
577,120.497
578,119.137
579,117.137
580,117.037
581,116.677
582,125.741
583,127.781
584,129.681
585,131.471
586,131.491
587,128.241
588,123.991
589,123.761
590,122.771
591,119.151
592,118.291
593,116.181
594,115.691
595,115.591
596,128.713
597,130.123
598,132.043
599,134.853
600,136.023
601,134.273
602,132.513
603,130.893
604,128.643
605,124.353
606,116.783
607,119.343
608,118.343
609,116.603
610,113.333
611,110.313
612,127.488
613,130.558
614,132.118
615,132.658
616,133.198
617,132.358
618,128.338
619,122.428
620,120.058
621,120.228
622,117.478
623,111.818
624,114.258
625,113.288
626,112.688
627,111.588
628,110.868
629,134.319
630,135.329
631,135.459
632,135.079
633,131.279
634,129.889
635,128.879
636,126.349
637,122.679
638,121.789
639,120.779
640,119.639
641,116.849
642,115.079
643,114.569
644,112.039
645,131.955
646,133.235
647,132.355
648,131.605
649,127.815
650,127.315
651,126.565
652,124.665
653,121.635
654,119.875
655,119.505
656,118.365
657,115.085
658,112.945
659,112.065
660,110.555
661,127.315
662,128.335
663,128.595
664,128.345
665,126.835
666,126.465
667,126.345
668,123.835
669,120.555
670,118.545
671,117.925
672,116.295
673,113.525
674,112.265
675,111.135
676,109.885
677,127.299
678,128.559
679,128.809
680,128.939
681,127.179
682,126.049
683,125.539
684,122.149
685,118.619
686,117.119
687,116.859
688,114.729
689,112.209
690,111.459
691,109.949
692,108.689
693,128.354
694,129.744
695,128.484
696,127.094
697,121.664
698,123.304
699,123.054
700,122.044
701,120.154
702,120.534
703,117.504
704,115.234
705,113.334
706,108.034
707,108.034
708,107.284
709,114.75
710,115.89
711,116.02
712,115.91
713,114.9
714,116.55
715,116.56
716,114.67
717,112.16
718,110.78
719,109.52
720,106.88
721,106.26
722,104.5
723,104.13
724,103.38
725,130.96
726,129.45
727,128.56
728,129.68
729,131.06
730,131.31
731,135.07
732,134.43
733,134.43
734,133.04
735,130.89
736,128.74
737,125.22
738,124.336
739,125.586
740,127.076
741,128.576
742,131.456
743,133.956
744,134.826
745,134.946
746,134.556
747,132.796
748,130.156
749,127.636
750,125.376
751,126.508
752,127.638
753,129.148
754,130.908
755,132.918
756,134.938
757,135.938
758,135.308
759,134.308
760,131.918
761,128.518
762,125.998
763,123.988
764,122.79
765,126.78
766,129.27
767,131.01
768,133.01
769,134.87
770,135.49
771,134.11
772,133.23
773,130.34
774,126.59
775,122.45
776,119.07
777,124.318
778,129.848
779,131.978
780,133.728
781,133.598
782,132.828
783,129.308
784,125.268
785,121.238
786,117.328
787,125.647
788,128.427
789,130.197
790,132.587
791,133.847
792,133.587
793,131.807
794,129.777
795,125.717
796,120.397
797,116.967
798,127.556
799,129.946
800,132.086
801,133.846
802,134.476
803,134.226
804,131.966
805,126.926
806,121.146
807,121.582
808,123.742
809,126.152
810,128.562
811,130.722
812,132.252
813,133.032
814,133.042
815,131.542
816,128.402
817,122.612
818,115.812
819,120.015
820,122.905
821,126.045
822,128.435
823,130.195
824,131.205
825,130.965
826,129.965
827,127.465
828,123.965
829,118.955
830,120.076
831,122.966
832,125.856
833,128.246
834,129.516
835,130.156
836,129.296
837,127.686
838,125.576
839,122.086
840,118.106
841,125.941
842,127.101
843,128.381
844,129.281
845,130.311
846,133.611
847,136.031
848,136.941
849,136.191
850,135.191
851,133.311
852,130.541
853,127.141
854,122.471
855,125.01
856,126.43
857,128.99
858,130.67
859,131.96
860,133.13
861,133.79
862,132.43
863,130.05
864,126.54
865,124.42
866,122.17
867,119.67
868,115.52
869,123.595
870,124.835
871,126.195
872,126.805
873,127.285
874,129.645
875,131.515
876,131.865
877,130.845
878,130.065
879,129.285
880,127.625
881,125.715
882,122.675
883,119.135
884,115.215
885,112.675
886,122.94
887,124.17
888,125.39
889,126.5
890,127.22
891,129.33
892,130.43
893,130.4
894,130.0
895,128.2
896,127.04
897,125.63
898,123.46
899,120.92
900,117.11
901,112.93
902,121.783
903,122.893
904,124.493
905,125.353
906,125.963
907,127.443
908,128.423
909,127.893
910,126.743
911,124.843
912,123.443
913,122.413
914,120.513
915,118.113
916,114.453
917,109.663
918,119.975
919,121.225
920,122.845
921,123.705
922,123.695
923,124.685
924,125.555
925,124.525
926,123.255
927,121.485
928,120.835
929,119.945
930,118.045
931,115.635
932,112.355
933,108.185
934,118.005
935,119.115
936,121.235
937,123.865
938,126.995
939,128.365
940,124.555
941,121.885
942,121.485
943,120.575
944,120.055
945,118.385
946,116.225
947,113.045
948,125.974
949,127.224
950,129.864
951,130.614
952,128.444
953,120.324
954,119.174
955,118.904
956,118.634
957,117.604
958,117.724
959,116.184
960,113.004
961,108.684
962,133.707
963,137.007
964,138.557
965,136.837
966,134.987
967,129.867
968,130.787
969,133.207
970,130.477
971,123.217
972,127.623
973,130.073
974,130.503
975,133.223
976,135.803
977,136.103
978,136.163
979,134.563
980,131.453
981,125.683
982,121.933
983,124.156
984,130.026
985,131.836
986,133.276
987,135.346
988,136.536
989,136.826
990,135.866
991,133.376
992,129.116
993,124.986
994,125.127
995,127.947
996,129.267
997,130.697
998,132.897
999,135.227
1000,137.047
1001,138.607
1002,138.537
1003,137.207
1004,134.227
1005,128.977
1006,125.627
1007,128.398
1008,130.828
1009,133.378
1010,134.928
1011,135.468
1012,134.498
1013,131.518
1014,127.398
1015,127.688
1016,124.208
1017,119.708
1018,121.474
1019,125.054
1020,129.144
1021,132.354
1022,133.924
1023,135.484
1024,135.164
1025,132.184
1026,126.944
1027,125.094
1028,124.394
1029,121.284
1030,116.366
1031,118.696
1032,120.766
1033,122.956
1034,125.026
1035,125.966
1036,128.916
1037,131.236
1038,133.436
1039,134.996
1040,135.426
1041,134.336
1042,131.346
1043,126.066
1044,116.128
1045,120.078
1046,122.648
1047,125.348
1048,127.408
1049,128.718
1050,130.148
1051,132.588
1052,134.268
1053,135.328
1054,135.248
1055,132.898
1056,127.008
1057,125.726
1058,127.206
1059,129.556
1060,131.656
1061,133.756
1062,134.976
1063,135.956
1064,136.166
1065,134.236
1066,131.186
1067,127.246
1068,120.952
1069,123.082
1070,125.452
1071,128.082
1072,130.332
1073,132.202
1074,133.062
1075,134.052
1076,134.152
1077,133.252
1078,131.582
1079,128.412
1080,124.222
1081,116.074
1082,116.924
1083,119.294
1084,121.154
1085,123.894
1086,126.514
1087,129.014
1088,130.374
1089,130.964
1090,131.184
1091,131.274
1092,131.234
1093,129.934
1094,127.864
1095,125.044
1096,120.324
1097,119.146
1098,120.136
1099,122.766
1100,124.756
1101,126.886
1102,129.006
1103,130.746
1104,131.346
1105,131.446
1106,131.036
1107,130.496
1108,130.086
1109,128.536
1110,126.736
1111,124.426
1112,120.726
1113,119.698
1114,122.938
1115,125.048
1116,126.898
1117,128.878
1118,130.348
1119,131.698
1120,133.048
1121,134.528
1122,134.228
1123,134.058
1124,133.758
1125,131.808
1126,128.978
1127,125.398
1128,120.538
1129,114.418
1130,121.547
1131,123.537
1132,125.527
1133,127.127
1134,128.867
1135,130.217
1136,130.947
1137,130.777
1138,129.977
1139,129.567
1140,129.027
1141,127.847
1142,126.537
1143,125.107
1144,123.177
1145,120.607
1146,116.017
1147,112.506
1148,113.796
1149,115.846
1150,117.396
1151,119.806
1152,122.606
1153,124.276
1154,125.816
1155,126.356
1156,126.406
1157,126.826
1158,126.746
1159,126.536
1160,125.586
1161,123.126
1162,119.916
1163,115.466
1164,109.951
1165,110.491
1166,111.911
1167,115.461
1168,119.621
1169,122.411
1170,123.091
1171,126.001
1172,129.301
1173,126.471
1174,125.261
1175,124.931
1176,124.101
1177,121.771
1178,118.941
1179,114.861
1180,114.044
1181,114.714
1182,115.144
1183,115.444
1184,117.514
1185,124.514
1186,135.324
1187,138.274
1188,131.364
1189,127.614
1190,126.644
1191,124.154
1192,123.564
1193,122.724
1194,119.854
1195,116.146
1196,116.956
1197,118.416
1198,120.766
1199,127.676
1200,136.886
1201,139.226
1202,131.796
1203,128.306
1204,126.846
1205,124.356
1206,124.166
1207,123.466
1208,121.996
1209,117.996
1210,115.857
1211,117.927
1212,117.967
1213,120.657
1214,123.227
1215,134.247
1216,140.987
1217,131.817
1218,127.197
1219,126.097
1220,124.127
1221,123.917
1222,125.727
1223,123.127
1224,121.657
1225,116.066
1226,117.386
1227,120.716
1228,123.416
1229,129.776
1230,137.026
1231,137.076
1232,128.416
1233,126.446
1234,122.216
1235,121.256
1236,121.306
1237,120.856
1238,119.646
1239,118.816
1240,124.155
1241,126.805
1242,128.825
1243,130.335
1244,131.725
1245,132.095
1246,132.595
1247,131.955
1248,130.935
1249,130.795
1250,129.395
1251,125.465
1252,123.305
1253,119.375
1254,126.17
1255,127.92
1256,129.8
1257,131.43
1258,132.05
1259,132.54
1260,133.04
1261,131.78
1262,129.5
1263,128.36
1264,127.73
1265,124.45
1266,121.93
1267,119.91
1268,125.401
1269,128.401
1270,130.781
1271,132.271
1272,133.261
1273,133.251
1274,132.611
1275,130.961
1276,127.801
1277,126.021
1278,125.631
1279,122.341
1280,119.561
1281,126.413
1282,129.053
1283,131.313
1284,133.063
1285,133.553
1286,133.153
1287,132.003
1288,129.973
1289,126.933
1290,124.393
1291,124.253
1292,120.193
1293,115.893
1294,131.074
1295,131.434
1296,132.304
1297,133.664
1298,134.034
1299,133.894
1300,132.114
1301,128.704
1302,127.054
1303,124.904
1304,121.234
1305,116.694
1306,126.599
1307,129.119
1308,131.129
1309,132.769
1310,133.649
1311,133.649
1312,132.889
1313,130.629
1314,127.229
1315,124.839
1316,123.839
1317,120.569
1318,115.659
1319,127.251
1320,129.991
1321,131.971
1322,133.211
1323,133.071
1324,132.301
1325,130.791
1326,128.401
1327,124.881
1328,122.371
1329,120.851
1330,118.091
1331,115.321
1332,128.952
1333,131.362
1334,133.012
1335,134.022
1336,133.402
1337,131.642
1338,130.392
1339,128.252
1340,124.852
1341,122.082
1342,120.702
1343,117.432
1344,131.448
1345,134.478
1346,136.758
1347,137.658
1348,136.678
1349,134.568
1350,131.458
1351,124.458
1352,129.343
1353,133.023
1354,135.953
1355,137.233
1356,136.883
1357,133.653
1358,129.653
1359,124.273
1360,128.295
1361,130.955
1362,133.355
1363,134.625
1364,134.515
1365,132.395
1366,127.375
1367,122.235
1368,126.266
1369,128.296
1370,130.206
1371,132.116
1372,132.886
1373,131.636
1374,129.256
1375,124.346
1376,120.446
1377,133.503
1378,134.533
1379,136.583
1380,138.123
1381,138.523
1382,138.423
1383,137.813
1384,135.433
1385,132.793
1386,128.763
1387,124.233
1388,123.623
1389,123.263
1390,120.243
1391,116.723
1392,117.253
1393,133.42
1394,134.34
1395,135.38
1396,135.54
1397,133.79
1398,131.92
1399,130.94
1400,129.58
1401,127.71
1402,123.82
1403,119.04
1404,119.19
1405,119.35
1406,116.22
1407,113.08
1408,113.11
1409,130.588
1410,131.568
1411,137.068
1412,139.428
1413,140.158
1414,135.368
1415,127.318
1416,127.928
1417,126.648
1418,124.748
1419,122.218
1420,121.318
1421,120.798
1422,118.018
1423,116.108
1424,113.958
1425,132.304
1426,133.294
1427,135.674
1428,136.414
1429,133.774
1430,124.244
1431,125.114
1432,125.484
1433,124.214
1434,121.824
1435,118.564
1436,117.054
1437,116.914
1438,114.404
1439,112.014
1440,110.124
1441,128.545
1442,129.675
1443,129.415
1444,128.265
1445,122.205
1446,121.315
1447,122.315
1448,122.435
1449,121.165
1450,117.875
1451,114.085
1452,113.315
1453,113.055
1454,110.905
1455,108.625
1456,107.985
1457,124.987
1458,125.857
1459,124.717
1460,123.207
1461,118.667
1462,119.287
1463,120.037
1464,119.777
1465,118.767
1466,114.477
1467,110.447
1468,110.317
1469,110.307
1470,108.407
1471,107.147
1472,107.267
1473,130.898
1474,132.158
1475,133.808
1476,134.058
1477,130.638
1478,122.288
1479,124.188
1480,124.438
1481,123.178
1482,121.528
1483,119.888
1484,118.998
