,target
0,0.21524952
1,0.17055758
2,0.15063897
3,0.15685015
4,0.19904334
5,0.23973727
6,0.25565789
7,0.26793746
8,0.27964589
9,0.29064039
10,0.30449061
11,0.33911616
12,0.34339973
13,0.35025344
14,0.35539373
15,0.3346898
16,0.22553009
17,0.16798743
18,0.13764546
19,0.11779824
20,0.10944528
21,0.09659456
22,0.088812736
23,0.082458771
24,0.075462269
25,0.070678946
26,0.070107803
27,0.066609552
28,0.063896623
29,0.060898122
30,0.057328479
31,0.053687442
32,0.050546155
33,0.048904119
34,0.047047905
35,0.046119797
36,0.047761833
37,0.042692939
38,0.038337974
39,0.034625544
40,0.042907118
41,0.063182694
42,0.081673449
43,0.074534161
44,0.080031413
45,0.075319483
46,0.083315485
47,0.084386378
48,0.079174698
49,0.10573285
50,0.10501892
51,0.13079175
52,0.10844578
53,0.20725352
54,0.24587706
55,0.24730492
56,0.24509174
57,0.19026201
58,0.16099093
59,0.15006782
60,0.16256158
61,0.15420861
62,0.11779824
63,0.10330549
64,0.081744842
65,0.076675948
66,0.069679446
67,0.054829728
68,0.048689941
69,0.047333476
70,0.043121296
71,0.043264082
72,0.04569144
73,0.047047905
74,0.039194688
75,0.035482259
76,0.035196687
77,0.039837224
78,0.037838224
79,0.033054901
80,0.030341972
81,0.02755765
82,0.026058399
83,0.024202185
84,0.022274577
85,0.021560648
86,0.019918612
87,0.01913329
88,0.018347969
89,0.018347969
90,0.015206682
91,0.017919612
92,0.020775327
93,0.025844221
94,0.038909117
95,0.054972514
96,0.05340187
97,0.096166203
98,0.18112372
99,0.1021632
100,0.099735846
101,0.19504533
102,0.22588706
103,0.10509031
104,0.17862497
105,0.15863497
106,0.2113943
107,0.23531092
108,0.26536732
109,0.28857
110,0.28699936
111,0.19754409
112,0.13993003
113,0.15428
114,0.16163347
115,0.17526951
116,0.13171985
117,0.11901192
118,0.11886914
119,0.13107732
120,0.09238238
121,0.079745841
122,0.096451774
123,0.067751838
124,0.050617548
125,0.044549154
126,0.043049904
127,0.040765332
128,0.038837724
129,0.03898051
130,0.042121796
131,0.040551153
132,0.03848076
133,0.035982009
134,0.033483258
135,0.031341472
136,0.02855715
137,0.026201185
138,0.023416863
139,0.019918612
140,0.017062897
141,0.016420361
142,0.016420361
143,0.017277076
144,0.024487756
145,0.027843221
146,0.049689441
147,0.068894124
148,0.046905119
149,0.05340187
150,0.090954523
151,0.090311987
152,0.084386378
153,0.12158207
154,0.1312201
155,0.20247019
156,0.1051617
157,0.24980367
158,0.27029342
159,0.28864139
160,0.3056329
161,0.32319555
162,0.26636682
163,0.14792604
164,0.10680374
165,0.089312487
166,0.095380881
167,0.11529949
168,0.10287713
169,0.081887628
170,0.064253587
171,0.057542657
172,0.04419219
173,0.041764832
174,0.087027915
175,0.070464768
176,0.072535161
177,0.053901621
178,0.041407867
179,0.033840223
180,0.029699436
181,0.026129792
182,0.024630542
183,0.025701435
184,0.023702434
185,0.022631541
186,0.021774827
187,0.020346969
188,0.018776326
189,0.017491254
190,0.015706432
191,0.01342186
192,0.011208681
193,0.0096380381
194,0.010566145
195,0.010137788
196,0.016491754
197,0.026486757
198,0.014278575
199,0.0092096809
200,0.01142286
201,0.010280574
202,0.011137288
203,0.016063397
204,0.03326908
205,0.071535661
206,0.056043407
207,0.038909117
208,0.037981009
209,0.1052331
210,0.1612765
211,0.20061398
212,0.24958949
213,0.25144571
