,Rr
0,0.11
1,0.27
2,0.47
3,0.78
4,1.18
5,1.82
6,2.61
7,3.76
8,4.99
9,7.16
10,11.93
11,20.11
12,32.75
13,49.49
14,0.04
15,0.17
16,0.37
17,0.66
18,1.06
19,1.59
20,2.33
21,3.29
22,4.61
23,7.11
24,11.99
25,21.09
26,35.01
27,51.8
28,0.09
29,0.29
30,0.56
31,0.86
32,1.31
33,1.99
34,2.94
35,4.21
36,5.54
37,8.25
38,13.08
39,21.4
40,33.14
41,50.14
42,0.2
43,0.35
44,0.65
45,0.93
46,1.37
47,1.97
48,2.83
49,3.99
50,5.19
51,8.03
52,12.86
53,21.51
54,33.97
55,50.36
56,0.2
57,0.35
58,0.65
59,0.93
60,1.37
61,1.97
62,2.83
63,3.99
64,5.19
65,8.03
66,12.86
67,21.51
68,33.97
69,50.36
70,0.12
71,0.26
72,0.43
73,0.69
74,1.09
75,1.67
76,2.46
77,3.43
78,4.62
79,6.86
80,11.56
81,20.63
82,34.5
83,54.23
84,0.28
85,0.44
86,0.7
87,1.07
88,1.57
89,2.23
90,3.09
91,4.09
92,5.82
93,8.28
94,12.8
95,20.41
96,32.34
97,47.29
98,0.2
99,0.38
100,0.64
101,0.97
102,1.36
103,1.98
104,2.91
105,4.35
106,5.79
107,8.04
108,12.15
109,19.18
110,30.09
111,44.38
112,0.15
113,0.32
114,0.55
115,0.86
116,1.24
117,1.76
118,2.49
119,3.45
120,4.83
121,7.37
122,12.76
123,21.99
124,35.64
125,53.07
126,0.11
127,0.24
128,0.49
129,0.79
130,1.28
131,1.96
132,2.88
133,4.14
134,5.96
135,9.07
136,14.93
137,24.13
138,38.12
139,55.44
140,0.07
141,0.18
142,0.4
143,0.7
144,1.14
145,1.83
146,2.77
147,4.12
148,5.41
149,7.87
150,12.71
151,21.02
152,34.58
153,51.77
154,0.08
155,0.26
156,0.5
157,0.83
158,1.28
159,1.9
160,2.68
161,3.76
162,5.57
163,8.76
164,14.24
165,23.05
166,35.46
167,51.99
168,0.08
169,0.24
170,0.45
171,0.77
172,1.19
173,1.76
174,2.59
175,3.85
176,5.27
177,7.74
178,12.4
179,20.91
180,33.23
181,49.14
182,0.08
183,0.25
184,0.46
185,0.75
186,1.11
187,1.57
188,2.17
189,2.98
190,4.42
191,7.84
192,14.11
193,24.14
194,37.95
195,55.17
196,0.1
197,0.23
198,0.47
199,0.76
200,1.15
201,1.65
202,2.28
203,3.09
204,4.41
205,7.51
206,13.77
207,23.96
208,37.38
209,56.46
210,0.05
211,0.17
212,0.35
213,0.63
214,1.01
215,1.43
216,2.05
217,2.73
218,3.87
219,7.19
220,13.96
221,25.18
222,41.34
223,62.42
224,0.03
225,0.18
226,0.4
227,0.73
228,1.3
229,2.16
230,3.35
231,5.06
232,7.14
233,10.36
234,15.25
235,23.15
236,34.62
237,51.5
238,0.06
239,0.15
240,0.34
241,0.63
242,1.13
243,1.85
244,2.84
245,4.34
246,6.2
247,8.62
248,12.49
249,20.41
250,32.46
251,50.94
252,0.16
253,0.32
254,0.59
255,0.92
256,1.37
257,1.94
258,2.62
259,3.7
260,5.45
261,9.45
262,16.31
263,27.34
264,41.77
265,60.85
266,0.09
267,0.24
268,0.47
269,0.78
270,1.21
271,1.85
272,2.62
273,3.69
274,5.07
275,7.95
276,13.73
277,23.55
278,37.14
279,55.87
280,0.01
281,0.16
282,0.39
283,0.73
284,1.24
285,1.96
286,3.04
287,4.46
288,6.31
289,8.68
290,12.39
291,20.14
292,31.77
293,47.13
294,0.04
295,0.17
296,0.36
297,0.64
298,1.02
299,1.62
300,2.63
301,4.15
302,6.0
303,8.47
304,12.27
305,19.59
306,30.48
307,46.66
